"model","dgp","rmse","coverage","mean_ci_length","normalized_rmse"
"BART_ps-bart","dgp29",0.430222538024638,0.94,1.52838583733001,0.0215580404470226
"BART_ps-bart","dgp30",0.494084037212788,0.94,1.86287398901805,0.020093047556172
"BART_ps-bart","dgp31",0.404676088470511,0.95,1.6113598002796,0.0223067237670737
"BART_ps-bart","dgp32",0.324493037077747,0.97,1.37357081835856,0.025516085541473
"BART_ps-bart","dgp37",0.203815505436831,0.97,0.806268619836713,0.0386265015937264
"BART_ps-bart","dgp38",0.146591673053825,0.99,0.589442718355644,0.102414743705656
"BART_ps-bart","dgp39",0.363178990700295,0.77,0.958052291247837,0.0260717789720009
"BART_ps-bart","dgp40",0.141573886511773,0.96,0.542644523068197,0.0256291805112025
"BART_ps-bart","dgp57",0.0863653953301085,0.94,0.356562354878863,0.0695922013260319
"BART_ps-bart","dgp58",0.109763250370435,0.94,0.39744630461572,0.0790553987519072
"BART_ps-bart","dgp59",0.0877980250293182,0.96,0.379135065953054,0.0719891282569554
"BART_ps-bart","dgp60",0.0898875858412914,0.9,0.304825874606531,0.0746975229222916
"BART_ps-bart","dgp61",0.176683257048386,0.98,0.840235171436018,0.0561802437923404
"BART_ps-bart","dgp62",0.210192635937975,0.95,0.879712193886221,0.0818061922960392
"BART_ps-bart","dgp63",0.257005547541628,0.94,0.983476081042738,0.0933184765692564
"BART_ps-bart","dgp64",0.16625913624238,0.93,0.628227167423127,0.0513382191076985
"BART_ps-glm","dgp29",0.435394111021559,0.92,1.52455480377304,0.0218171830301943
"BART_ps-glm","dgp30",0.577836462943152,0.86,1.81221903835503,0.0234990298312484
"BART_ps-glm","dgp31",0.392584762576951,0.95,1.59850320046177,0.0216402206689917
"BART_ps-glm","dgp32",0.314660042828829,0.99,1.33742721732208,0.0247428809000308
"BART_ps-glm","dgp37",0.207203127444572,0.95,0.794837750635685,0.0392685135280025
"BART_ps-glm","dgp38",0.14328108799441,0.98,0.574392403672441,0.100101837977025
"BART_ps-glm","dgp39",0.348026189702127,0.81,0.947609774235432,0.0249839944675361
"BART_ps-glm","dgp40",0.141899749360438,0.95,0.538004532599859,0.0256881716004218
"BART_ps-glm","dgp57",0.084859359158626,0.95,0.355076872262503,0.0683786554139279
"BART_ps-glm","dgp58",0.109225037358016,0.92,0.393960787064167,0.078667758588495
"BART_ps-glm","dgp59",0.0875478241326856,0.98,0.375114691559452,0.0717839784892736
"BART_ps-glm","dgp60",0.0898500655919328,0.9,0.303846734142465,0.074666343203087
"BART_ps-glm","dgp61",0.176721969451736,0.98,0.834158929683275,0.0561925532340743
"BART_ps-glm","dgp62",0.209947366044037,0.96,0.870420567370915,0.081710734165366
"BART_ps-glm","dgp63",0.250962829820097,0.94,0.969840019973986,0.0911243713543875
"BART_ps-glm","dgp64",0.160762265106215,0.93,0.619616524137112,0.0496408713337764
"BART_s-learner","dgp29",0.436651247519949,0.9,1.51958503221147,0.0218801769393561
"BART_s-learner","dgp30",0.5813386518347,0.84,1.80853137331335,0.0236414542826546
"BART_s-learner","dgp31",0.386846773964629,0.95,1.52890960863748,0.0213239288726628
"BART_s-learner","dgp32",0.313108144022012,0.99,1.33437612249278,0.0246208493672032
"BART_s-learner","dgp37",0.207593480727019,0.96,0.794262002964288,0.0393424921080631
"BART_s-learner","dgp38",0.13933748023614,0.97,0.5629881376711,0.0973466775410666
"BART_s-learner","dgp39",0.329594275817732,0.83,0.912296366630242,0.0236608100402148
"BART_s-learner","dgp40",0.141974288287267,0.94,0.532619338588556,0.0257016654138494
"BART_s-learner","dgp57",0.0837534822528322,0.95,0.353247271784392,0.0674875530461838
"BART_s-learner","dgp58",0.106694578347687,0.93,0.392287341688388,0.0768452319649503
"BART_s-learner","dgp59",0.0873352354723011,0.94,0.366656381993298,0.0716096685052701
"BART_s-learner","dgp60",0.091707676461376,0.89,0.302440962235419,0.0762100372427281
"BART_s-learner","dgp61",0.174558481707669,0.98,0.825724017532108,0.055504625747713
"BART_s-learner","dgp62",0.209745525040396,0.96,0.857736424146693,0.081632178397304
"BART_s-learner","dgp63",0.240748323420708,0.96,0.918273591401232,0.0874154935297036
"BART_s-learner","dgp64",0.159387035064199,0.94,0.617370691113234,0.0492162218208763
"BART_t-learner","dgp29",0.464838473070712,0.91,1.56633970511884,0.0232926118882613
"BART_t-learner","dgp30",1.02229160637572,0.6,2.02600599200958,0.0415738059036633
"BART_t-learner","dgp31",0.387183886202952,0.98,1.5791820648072,0.0213425113137633
"BART_t-learner","dgp32",0.31390444711099,0.99,1.34442346950522,0.0246834656190596
"BART_t-learner","dgp37",0.280660206264516,0.88,0.919074162547063,0.0531898781760344
"BART_t-learner","dgp38",0.18517303691694,0.85,0.555522913874621,0.129369211238097
"BART_t-learner","dgp39",0.359884310185017,0.83,0.989086025616928,0.0258352614850944
"BART_t-learner","dgp40",0.265656053934856,0.73,0.601752529383203,0.0480918277229325
"BART_t-learner","dgp57",0.0813114474887074,0.96,0.352057572993003,0.0655197906767699
"BART_t-learner","dgp58",0.110778314374703,0.92,0.404463381810463,0.079786483968
"BART_t-learner","dgp59",0.0844483572245743,0.95,0.362519121352474,0.069242601041413
"BART_t-learner","dgp60",0.0833951202726462,0.92,0.299963045298653,0.0693022162056072
"BART_t-learner","dgp61",0.199723870179066,0.95,0.835609339223699,0.0635065025699455
"BART_t-learner","dgp62",0.248021391010751,0.95,0.868700294976057,0.0965290031023915
"BART_t-learner","dgp63",0.230710758515925,0.94,0.95968273935143,0.0837708629980312
"BART_t-learner","dgp64",0.166505842631431,0.93,0.605980825362939,0.0514143981793731
"causal_forest","dgp29",0.46404513917171,0.92,1.65684193909549,0.0232528586843469
"causal_forest","dgp30",0.931700108435942,0.65,1.95310847126989,0.0378896972517076
"causal_forest","dgp31",0.496825067541407,0.92,1.80880704517657,0.0273861981420518
"causal_forest","dgp32",0.332537777070831,0.97,1.3319660272976,0.0261486731485016
"causal_forest","dgp37",0.597799269004248,0.92,1.97573104111976,0.113293119517238
"causal_forest","dgp38",0.154426940770429,0.89,0.526720511325507,0.107888771788865
"causal_forest","dgp39",0.910849564124159,0.93,3.16482653971574,0.06538778156412
"causal_forest","dgp40",0.483781503280149,0.98,1.80655094187938,0.0875791700082825
"causal_forest","dgp57",0.0968693607974855,0.95,0.356047764727241,0.0780561709140058
"causal_forest","dgp58",0.104157437883859,0.92,0.365916992336067,0.0750178931208417
"causal_forest","dgp59",0.0984968453257106,0.92,0.350529615457412,0.0807615208735083
"causal_forest","dgp60",0.0980795078762041,0.88,0.30403651396125,0.0815050957172817
"causal_forest","dgp61",0.210887945838942,0.97,0.830572556291761,0.0670563606762867
"causal_forest","dgp62",0.22810712093108,0.93,0.834422203382033,0.0887784432395162
"causal_forest","dgp63",0.235492496938103,0.9,0.854944656617104,0.0855071077957746
"causal_forest","dgp64",0.151772762515447,0.95,0.617864977918252,0.0468650536307344
"weighting","dgp29",0.430123510009332,0.96,1.58079067940565,0.0215530782477637
"weighting","dgp30",12.1330295296921,0,2.34086770600714,0.493417153721057
"weighting","dgp31",0.418224688131354,0.94,1.75379384138255,0.0230535553162452
"weighting","dgp32",0.374189765525096,0.96,1.44887617485385,0.0294239227807975
"weighting","dgp37",0.162262693596237,0.96,0.617470981333859,0.0307515376681679
"weighting","dgp38",0.154289648594583,0.94,0.584867455908632,0.107792854041907
"weighting","dgp39",0.545275790089822,0.73,1.34839845058494,0.0391440866405642
"weighting","dgp40",0.35923867616837,0.8,0.939830491573932,0.0650331293784108
"weighting","dgp57",0.090760823947597,0.96,0.364158901022126,0.0731339850704736
"weighting","dgp58",0.116373032417173,0.91,0.405924304394291,0.0838159989856337
"weighting","dgp59",0.0899199314393239,0.97,0.386734282917922,0.0737289645761454
"weighting","dgp60",0.0835743485140756,0.91,0.314375863032071,0.0694511567466974
"weighting","dgp61",0.191056572405964,0.98,0.854828070301331,0.0607505487232246
"weighting","dgp62",0.263338072745452,0.94,0.893061954870717,0.102490198677749
"weighting","dgp63",0.278374912158993,0.92,0.975638792435174,0.10107767309408
"weighting","dgp64",0.312810101459152,0.78,0.766067778807208,0.0965908634602772
