"","model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"1","BART_ps-bart","dgp29",0.360336170376201,0.09,0.0180561013171525,0.430222538024638,0.108,0.0215580404470226,0.94,1.52838583733001,0.382,0.0765859544483695
"2","BART_ps-bart","dgp30",0.402653642415338,0.04,0.0163748232615596,0.494084037212788,0.049,0.020093047556172,0.94,1.86287398901805,0.186,0.0757579942546798
"3","BART_ps-bart","dgp31",0.325956321302213,0.163,0.0179674999995702,0.404676088470511,0.202,0.0223067237670737,0.95,1.6113598002796,0.806,0.0888220455279591
"4","BART_ps-bart","dgp32",0.274957386184066,0.109,0.0216209144248956,0.324493037077747,0.128,0.025516085541473,0.97,1.37357081835856,0.543,0.108008944703829
"5","BART_ps-bart","dgp37",0.166875303645224,0.042,0.0316257056517401,0.203815505436831,0.051,0.0386265015937264,0.97,0.806268619836713,0.202,0.152801603893413
"6","BART_ps-bart","dgp38",0.118739647188693,0.047,0.082956216278839,0.146591673053825,0.059,0.102414743705656,0.99,0.589442718355644,0.236,0.41180800840845
"7","BART_ps-bart","dgp39",0.295495058415336,0.047,0.0212129061636188,0.363178990700295,0.058,0.026071778972001,0.77,0.958052291247837,0.153,0.0687763560685846
"8","BART_ps-bart","dgp40",0.115507538003779,0.017,0.0209103784239,0.141573886511773,0.02,0.0256291805112024,0.96,0.542644523068197,0.078,0.0982351673588739
"9","BART_ps-bart","dgp57",0.069186365621451,0.138,0.0557495449067427,0.0863653953301085,0.173,0.0695922013260318,0.94,0.356562354878863,0.713,0.287313675705057
"10","BART_ps-bart","dgp58",0.0884414557434202,0.088,0.0636986835429801,0.109763250370435,0.11,0.0790553987519071,0.94,0.39744630461572,0.397,0.286254971384583
"11","BART_ps-bart","dgp59",0.0692226276903004,0.087,0.0567584136592646,0.0877980250293182,0.11,0.0719891282569554,0.96,0.379135065953054,0.474,0.310868073404722
"12","BART_ps-bart","dgp60",0.0711773944755223,0.042,0.059149158425189,0.0898875858412914,0.053,0.0746975229222916,0.9,0.304825874606531,0.181,0.253313486424387
"13","BART_ps-bart","dgp61",0.139940428246655,0.07,0.04449707067121,0.176683257048386,0.088,0.0561802437923404,0.98,0.840235171436018,0.42,0.267170854571959
"14","BART_ps-bart","dgp62",0.169242759632196,0.085,0.0658686527118357,0.210192635937975,0.105,0.0818061922960392,0.95,0.879712193886221,0.44,0.342380714610111
"15","BART_ps-bart","dgp63",0.196123016648286,0.098,0.0712120859212991,0.257005547541628,0.129,0.0933184765692565,0.94,0.983476081042738,0.492,0.357099255261584
"16","BART_ps-bart","dgp64",0.134056386082835,0.037,0.0413945138718489,0.16625913624238,0.046,0.0513382191076986,0.93,0.628227167423127,0.173,0.19398671675738
"17","BART_ps-glm","dgp29",0.361633754120433,0.09,0.0181211219991698,0.435394111021559,0.109,0.0218171830301943,0.92,1.52455480377304,0.381,0.0763939850160978
"18","BART_ps-glm","dgp30",0.466043122023373,0.047,0.0189527001658821,0.577836462943152,0.058,0.0234990298312484,0.86,1.81221903835503,0.181,0.0736979958415169
"19","BART_ps-glm","dgp31",0.317642588952278,0.159,0.0175092269849617,0.392584762576951,0.196,0.0216402206689917,0.95,1.59850320046177,0.799,0.0881133586821313
"20","BART_ps-glm","dgp32",0.266035199724193,0.105,0.0209193299626301,0.314660042828829,0.124,0.0247428809000307,0.99,1.33742721732208,0.529,0.105166839911292
"21","BART_ps-glm","dgp37",0.169512135481894,0.042,0.0321254300908755,0.207203127444572,0.052,0.0392685135280025,0.95,0.794837750635685,0.199,0.150635259941981
"22","BART_ps-glm","dgp38",0.115426786721036,0.046,0.0806417208599683,0.14328108799441,0.057,0.100101837977025,0.98,0.574392403672441,0.23,0.401293263001296
"23","BART_ps-glm","dgp39",0.282252276473989,0.045,0.0202622375054912,0.348026189702127,0.056,0.0249839944675361,0.81,0.947609774235432,0.151,0.0680267119470075
"24","BART_ps-glm","dgp40",0.11615966681549,0.017,0.0210284335783052,0.141899749360438,0.02,0.0256881716004217,0.95,0.538004532599859,0.077,0.0973951879233061
"25","BART_ps-glm","dgp57",0.0680639383215203,0.136,0.0548451064295951,0.084859359158626,0.17,0.0683786554139279,0.95,0.355076872262503,0.71,0.286116691601541
"26","BART_ps-glm","dgp58",0.0878206008788186,0.088,0.0632515217768836,0.109225037358016,0.109,0.0786677585884948,0.92,0.393960787064167,0.394,0.283744577614675
"27","BART_ps-glm","dgp59",0.0690318058314367,0.086,0.0566019511503713,0.0875478241326856,0.109,0.0717839784892736,0.98,0.375114691559452,0.469,0.307571606909429
"28","BART_ps-glm","dgp60",0.0713893982828437,0.042,0.0593253358039536,0.0898500655919328,0.053,0.074666343203087,0.9,0.303846734142465,0.18,0.252499810469314
"29","BART_ps-glm","dgp61",0.141692611165353,0.071,0.0450542149370883,0.176721969451736,0.088,0.0561925532340744,0.98,0.834158929683275,0.417,0.265238782746292
"30","BART_ps-glm","dgp62",0.169463905932355,0.085,0.0659547220295149,0.209947366044037,0.105,0.0817107341653659,0.96,0.870420567370915,0.435,0.338764448121696
"31","BART_ps-glm","dgp63",0.18928311833668,0.095,0.0687285251716063,0.250962829820097,0.125,0.0911243713543876,0.94,0.969840019973986,0.485,0.352148014101565
"32","BART_ps-glm","dgp64",0.130042893639223,0.036,0.0401552102214506,0.160762265106215,0.044,0.0496408713337764,0.93,0.619616524137112,0.171,0.191327884878023
"33","BART_s-learner","dgp29",0.36187154613759,0.09,0.018133037530019,0.436651247519949,0.109,0.0218801769393561,0.9,1.51958503221147,0.38,0.076144954510098
"34","BART_s-learner","dgp30",0.468672753608118,0.047,0.019059640096153,0.5813386518347,0.058,0.0236414542826546,0.84,1.80853137331335,0.181,0.0735480285819559
"35","BART_s-learner","dgp31",0.317131697936734,0.159,0.0174810654377798,0.386846773964629,0.193,0.0213239288726628,0.95,1.52890960863748,0.764,0.0842771917500789
"36","BART_s-learner","dgp32",0.263798783584222,0.104,0.0207434723046423,0.313108144022012,0.124,0.0246208493672032,0.99,1.33437612249278,0.528,0.104926921060149
"37","BART_s-learner","dgp37",0.171634036662958,0.043,0.0325275664208688,0.207593480727019,0.052,0.0393424921080631,0.96,0.794262002964288,0.199,0.150526145974919
"38","BART_s-learner","dgp38",0.112167398167523,0.045,0.0783645830363034,0.13933748023614,0.056,0.0973466775410666,0.97,0.5629881376711,0.225,0.393325791484346
"39","BART_s-learner","dgp39",0.264084921046494,0.042,0.0189580451173299,0.329594275817732,0.053,0.0236608100402148,0.83,0.912296366630242,0.145,0.0654916441666401
"40","BART_s-learner","dgp40",0.114601514561201,0.016,0.0207463606171608,0.141974288287267,0.02,0.0257016654138495,0.94,0.532619338588556,0.077,0.0964203039753962
"41","BART_s-learner","dgp57",0.0671442547907464,0.134,0.0541040364537648,0.0837534822528322,0.168,0.0674875530461838,0.95,0.353247271784392,0.706,0.284642421445858
"42","BART_s-learner","dgp58",0.0872599027226724,0.087,0.0628476870128437,0.106694578347687,0.107,0.0768452319649505,0.93,0.392287341688388,0.392,0.28253930270686
"43","BART_s-learner","dgp59",0.0688364212408247,0.086,0.0564417474743967,0.0873352354723011,0.109,0.0716096685052702,0.94,0.366656381993298,0.458,0.300636299059491
"44","BART_s-learner","dgp60",0.073276008273186,0.043,0.0608931284160263,0.091707676461376,0.054,0.0762100372427281,0.89,0.302440962235419,0.179,0.25133159932795
"45","BART_s-learner","dgp61",0.139771756484581,0.07,0.0444434378546516,0.174558481707669,0.087,0.0555046257477131,0.98,0.825724017532108,0.413,0.262556720908991
"46","BART_s-learner","dgp62",0.16859926000134,0.084,0.0656182050483897,0.209745525040396,0.105,0.0816321783973039,0.96,0.857736424146693,0.429,0.333827826745401
"47","BART_s-learner","dgp63",0.18882171224072,0.094,0.0685609890449873,0.240748323420708,0.12,0.0874154935297035,0.96,0.918273591401232,0.459,0.333424291588348
"48","BART_s-learner","dgp64",0.129152001192447,0.036,0.03988011657747,0.159387035064199,0.044,0.0492162218208763,0.94,0.617370691113234,0.17,0.190634406790352
"49","BART_t-learner","dgp29",0.376809614377516,0.094,0.0188815698612059,0.464838473070712,0.116,0.0232926118882613,0.91,1.56633970511884,0.392,0.0784877865110723
"50","BART_t-learner","dgp30",0.851109227381427,0.085,0.0346122863587004,1.02229160637572,0.102,0.0415738059036632,0.6,2.02600599200958,0.203,0.08239212700775
"51","BART_t-learner","dgp31",0.31446608908955,0.157,0.0173341306375302,0.387183886202952,0.194,0.0213425113137633,0.98,1.5791820648072,0.79,0.0870483310014951
"52","BART_t-learner","dgp32",0.267849082699256,0.106,0.0210619622778586,0.31390444711099,0.124,0.0246834656190596,0.99,1.34442346950522,0.532,0.105716981050783
"53","BART_t-learner","dgp37",0.223405726489887,0.056,0.0423391813680425,0.280660206264516,0.07,0.0531898781760344,0.88,0.919074162547063,0.23,0.174180171073293
"54","BART_t-learner","dgp38",0.151676198090109,0.061,0.105966994100294,0.18517303691694,0.074,0.129369211238097,0.85,0.555522913874621,0.222,0.388110290727075
"55","BART_t-learner","dgp39",0.284806879863477,0.045,0.0204456265688382,0.359884310185017,0.057,0.0258352614850944,0.83,0.989086025616928,0.158,0.0710041960149058
"56","BART_t-learner","dgp40",0.221792719628493,0.032,0.0401512297746835,0.265656053934856,0.038,0.0480918277229325,0.73,0.601752529383203,0.086,0.108935514723984
"57","BART_t-learner","dgp57",0.0641604722687973,0.128,0.0516997402285592,0.0813114474887074,0.163,0.0655197906767699,0.96,0.352057572993003,0.704,0.283683776406474
"58","BART_t-learner","dgp58",0.0911593454184914,0.091,0.0656562044008384,0.110778314374703,0.111,0.0797864839679999,0.92,0.404463381810463,0.404,0.291308920077166
"59","BART_t-learner","dgp59",0.0672979997602224,0.084,0.0551803338919915,0.0844483572245743,0.106,0.069242601041413,0.95,0.362519121352474,0.453,0.297243992833864
"60","BART_t-learner","dgp60",0.0664588569388231,0.039,0.0552280044359207,0.0833951202726462,0.049,0.0693022162056072,0.92,0.299963045298653,0.178,0.249272424465801
"61","BART_t-learner","dgp61",0.15335419007842,0.077,0.0487622649090239,0.199723870179066,0.1,0.0635065025699456,0.95,0.835609339223699,0.418,0.265699971672402
"62","BART_t-learner","dgp62",0.203869626425025,0.102,0.0793453005060019,0.248021391010751,0.124,0.0965290031023914,0.95,0.868700294976057,0.434,0.33809492450253
"63","BART_t-learner","dgp63",0.176470555459251,0.088,0.0640762954430795,0.230710758515925,0.115,0.0837708629980311,0.94,0.95968273935143,0.48,0.348459914903512
"64","BART_t-learner","dgp64",0.132831602873663,0.037,0.0410163199862494,0.166505842631431,0.046,0.0514143981793731,0.93,0.605980825362939,0.167,0.187117394512341
"65","causal_forest","dgp29",0.380421006273165,0.095,0.0190625332596227,0.46404513917171,0.116,0.0232528586843469,0.92,1.65684193909549,0.414,0.0830227670111006
"66","causal_forest","dgp30",0.788684161060683,0.079,0.0320736295072148,0.931700108435942,0.093,0.0378896972517076,0.65,1.95310847126989,0.195,0.079427584054263
"67","causal_forest","dgp31",0.399484812600632,0.2,0.0220205680980651,0.496825067541407,0.248,0.0273861981420519,0.92,1.80880704517657,0.904,0.0997058147349142
"68","causal_forest","dgp32",0.281967087684553,0.112,0.0221721131338644,0.332537777070831,0.132,0.0261486731485015,0.97,1.3319660272976,0.527,0.104737406376823
"69","causal_forest","dgp37",0.432257529810064,0.108,0.0819201469894228,0.597799269004248,0.149,0.113293119517238,0.92,1.97573104111976,0.494,0.374434604693213
"70","causal_forest","dgp38",0.125304965387791,0.05,0.0875430073748095,0.154426940770429,0.062,0.107888771788864,0.89,0.526720511325507,0.211,0.367987792540623
"71","causal_forest","dgp39",0.733342445542715,0.117,0.0526449564555188,0.910849564124159,0.145,0.06538778156412,0.93,3.16482653971574,0.505,0.227195570616812
"72","causal_forest","dgp40",0.35207530961187,0.051,0.0637363421031022,0.483781503280149,0.069,0.0875791700082825,0.98,1.80655094187938,0.259,0.327040680544285
"73","causal_forest","dgp57",0.0784609429250466,0.157,0.0632228882343412,0.0968693607974855,0.194,0.0780561709140058,0.95,0.356047764727241,0.712,0.286899025123129
"74","causal_forest","dgp58",0.0843825887268481,0.084,0.0607753430861955,0.104157437883859,0.104,0.0750178931208415,0.92,0.365916992336067,0.366,0.263546438736094
"75","causal_forest","dgp59",0.0797855519550102,0.1,0.0654193796594312,0.0984968453257106,0.123,0.0807615208735082,0.92,0.350529615457412,0.438,0.287413315237996
"76","causal_forest","dgp60",0.0790888876911692,0.047,0.0657236919416277,0.0980795078762041,0.058,0.0815050957172817,0.88,0.30403651396125,0.18,0.252657519481422
"77","causal_forest","dgp61",0.16775740869704,0.084,0.0533420782252728,0.210887945838942,0.105,0.0670563606762867,0.97,0.830572556291761,0.415,0.264098418147905
"78","causal_forest","dgp62",0.184290918688628,0.092,0.0717253402593248,0.22810712093108,0.114,0.0887784432395163,0.93,0.834422203382033,0.417,0.324754018718801
"79","causal_forest","dgp63",0.17987023382366,0.09,0.0653107155123221,0.235492496938103,0.118,0.0855071077957747,0.9,0.854944656617104,0.427,0.310429613950694
"80","causal_forest","dgp64",0.121275337573693,0.033,0.0374479261316605,0.151772762515447,0.042,0.0468650536307344,0.95,0.617864977918252,0.17,0.190787034819533
"81","weighting","dgp29",0.35293866135433,0.088,0.0176854192059063,0.431923425203702,0.108,0.0216432702789381,0.92,1.59031808672433,0.398,0.0796893203100189
"82","weighting","dgp30",11.9020200449249,1.19,0.48402262928036,11.9145407814278,1.191,0.484531813417152,0,2.38017651027546,0.238,0.0967952741052659
"83","weighting","dgp31",0.414412213763265,0.207,0.0228434025174489,0.513862200063983,0.257,0.028325326051488,0.93,1.88197068081731,0.941,0.103738771108001
"84","weighting","dgp32",0.271357117880917,0.107,0.0213378120359424,0.320758226870352,0.127,0.025222403625857,0.98,1.33117117312192,0.527,0.104674904058369
"85","weighting","dgp37",0.137253025587286,0.034,0.0260117806063299,0.168182778961155,0.042,0.0318734944412452,0.97,0.672725593652684,0.168,0.127492931215773
"86","weighting","dgp38",0.145871198560308,0.058,0.101911391713944,0.186919831600262,0.075,0.130589591127841,0.92,0.676569033582564,0.271,0.47267789997935
"87","weighting","dgp39",0.267311925248475,0.043,0.0191897042783775,0.328489443727272,0.052,0.0235814967021604,0.95,1.39849872347881,0.223,0.100394985791604
"88","weighting","dgp40",0.29232549093135,0.042,0.0529198071742025,0.35601322146365,0.051,0.064449223949982,0.79,0.895370263317117,0.129,0.162089257195105
"89","weighting","dgp57",0.0694199377201632,0.139,0.0559377545068446,0.0870969704870536,0.174,0.0701816958268403,0.96,0.349691252404104,0.699,0.281777023612775
"90","weighting","dgp58",0.0894744019197361,0.089,0.0644426481357042,0.115767537102051,0.116,0.0833798997136295,0.91,0.398557800076786,0.399,0.287055509967296
"91","weighting","dgp59",0.078944845370341,0.099,0.0647300505528823,0.0962880306494424,0.12,0.0789504249750229,0.95,0.368946045728017,0.461,0.302513686349341
"92","weighting","dgp60",0.0647177126750919,0.038,0.053781095362395,0.0808609094784438,0.048,0.0671962605598066,0.94,0.302260303555625,0.179,0.251181470077634
"93","weighting","dgp61",0.155516173447637,0.078,0.0494497140470275,0.197325080831938,0.099,0.0627437558752138,0.97,0.849372247896451,0.425,0.270076184661928
"94","weighting","dgp62",0.228435156145324,0.114,0.088906113325086,0.283484206793606,0.142,0.110330999134961,0.9,0.901102576158583,0.451,0.35070577184939
"95","weighting","dgp63",0.249808472816486,0.125,0.0907052253942147,0.32368317580468,0.162,0.117529061711398,0.81,0.884418507922348,0.442,0.321131542094827
"96","weighting","dgp64",0.25057318307553,0.069,0.0773730771492239,0.301159496844658,0.083,0.092993339101892,0.79,0.728620344593556,0.201,0.224986558588507
